Место|Зона|Провинция|Регионы|Культура|Уровень технологий|Реализация потенциала сорта|Производительность труда|Гарантированная урожайность|Себестоимость|Тип основной продукции|Назначение основной продукции|Тип побочной продукции|Назанчение побочной продукции|Показатели качества. ГОСТ|Показатели качества. Максимальное содрежание клейковины|Показатели качества. Натура|Показатели качества. Максимальная влажность|Способ реализации|Уровень спроса на рынке|Агроэкологические виды земель|Предшественники|Рекомендуемые сорта|Подготовка семян|Минеральные удобрения. Тип|Минеральные удобрения. Количество|Пестициды (протравители). Тип|Пестициды (протравители). Количество|Гебициды. Тип|Гебициды. Количество|Фунгицыды. Тип|Фунгицыды. Количество|Инсектициды. Тип|Инсектициды. Количество|Ретардант . Тип|Ретардант . Количество|Известкование|Органические удобрения. Тип|Органические удобрения. Количество
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Нормальный|50%|6,4 чел-час/т|3,5 т/га|7140 руб/т|зерно|Хлебопекарная промышленность; Комбикормовая промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4 }|{занятый пар викоовсяный, занятый пар горохоовсяный, ранние пропашные, зернобобовые, многолетние травы 1 -2-х лет пользования}|{Гермес,Немчиновский 56}|ГОСТ Р52325-2005|N|90|Винцит Форте |1,5 л/т|Линтур ВДГ|180 г/га|Импакт Эксклюзив, КС |0,5 л/га|Данадим Пауэр КЭ, |1,0 л/га|||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Нормальный|50%|6,4 чел-час/т|3,5 т/га|7140 руб/т|зерно|Хлебопекарная промышленность; Комбикормовая промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4 }|{занятый пар викоовсяный, занятый пар горохоовсяный, ранние пропашные, зернобобовые, многолетние травы 1 -2-х лет пользования}|{Гермес,Немчиновский 56}|ГОСТ Р52325-2005|P|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Нормальный|50%|6,4 чел-час/т|3,5 т/га|7140 руб/т|зерно|Хлебопекарная промышленность; Комбикормовая промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4 }|{занятый пар викоовсяный, занятый пар горохоовсяный, ранние пропашные, зернобобовые, многолетние травы 1 -2-х лет пользования}|{Гермес,Немчиновский 56}|ГОСТ Р52325-2005|K|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Интенсивный|65%|4,2 чел-час/т|5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновский 56,Нина}|ГОСТ Р52325-2005|N|120|Винцит Форте|1,25 л/т |Тандем, ВДГ |0,25 кг/га|Импакт Супер |1,5 л/га |Данадим Пауер, КЭ |1,6 л/га|Сапресс, КЭ |0,3 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Интенсивный|65%|4,2 чел-час/т|5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновский 56,Нина}|ГОСТ Р52325-2005|P|90|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Импакт Эксклюзив, КС |0,5 кг/га|Данадим Эксперт, КЭ |1 л/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Интенсивный|65%|4,2 чел-час/т|5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновский 56,Нина}|ГОСТ Р52325-2005|K|90|||||Консул, КС |1,0 л/га|Вантекс, МКС |60 мл/га||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Интенсивный|65%|4,2 чел-час/т|5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновский 56,Нина}|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Интенсивный|65%|4,2 чел-час/т|5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновский 56,Нина}|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Точный|85%|3 чел-час/т|7 т/га|5000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нина}|ГОСТ Р52325-2005|N|150|Винцит Форте|1,25 л/т |Атон, ВДГ|0,06 кг/га|Импакт Эксклюзив, КС |0,5 кг/га|Данадим Пауер, КЭ |1,6 л/га|Сапресс, КЭ |0,6 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Точный|85%|3 чел-час/т|7 т/га|5000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нина}|ГОСТ Р52325-2005|P|120|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Альто Супер, КЭ |0,5 л/га|Вантекс, МКС |60 мл/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Точный|85%|3 чел-час/т|7 т/га|5000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нина}|ГОСТ Р52325-2005|K|120|||Агроксон |0,5 л/га|Консул, КС |1,0 л/га||||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Точный|85%|3 чел-час/т|7 т/га|5000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нина}|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Точный|85%|3 чел-час/т|7 т/га|5000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; Комбикормовая промышленность|||||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нина}|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Экстенсивный|30%|9 чел-час/т|1,7 т/га|7060 руб/т|зерно|Хлебопекарная промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|4 класс - 18-23%, 5 класс - менее 18%||18%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4, 2.1, 2.2. 2.3, 2.4}|{зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Эстер,Злата }|ГОСТ Р52325-2005|||||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Нормальный|50%|7 чел-час/т|3 т/га|8300 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч. 3 класс - 24%; 4 класс - 18-23%, 5 класс - менее 18%||15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4, 1.5, 2.1, 2.2}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Злата, Агата}|ГОСТ Р52325-2005|N|90|Винцит Форте |1,5 л/т|Линтур ВДГ|180 г/га|Импакт Эксклюзив, КС |0,5 л/га|Данадим Пауэр КЭ, |1,0 л/га|||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Нормальный|50%|7 чел-час/т|3 т/га|8300 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч. 3 класс - 24%; 4 класс - 18-23%, 5 класс - менее 18%||15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4, 1.5, 2.1, 2.2}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Злата, Агата}|ГОСТ Р52325-2005|P|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Нормальный|50%|7 чел-час/т|3 т/га|8300 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч. 3 класс - 24%; 4 класс - 18-23%, 5 класс - менее 18%||15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4, 1.5, 2.1, 2.2}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Злата, Агата}|ГОСТ Р52325-2005|K|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Интенсивный|65%|5 чел-час/т|4,5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Злата, Агата,Рима }|ГОСТ Р52325-2005|N|120|Винцит Форте|1,25 л/т |Линтур ВДГ |150 г/га|Консул, КС |0,8 л/га|Вантекс, МКС |0,06 л/га|Перфект КЭ |0,4 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Интенсивный|65%|5 чел-час/т|4,5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Злата, Агата,Рима }|ГОСТ Р52325-2005|P|90|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Альто Супер|0,5 л/га|Данадим, КЭ |1 л/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Интенсивный|65%|5 чел-час/т|4,5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Злата, Агата,Рима }|ГОСТ Р52325-2005|K|90|Перфект |4 л/т|Агроксон |0,5 л/га|Импакт Супер |0,75 л/га |Данадим Эксклюзив, КЭ |0,3 л/га||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Интенсивный|65%|5 чел-час/т|4,5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Злата, Агата,Рима }|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Интенсивный|65%|5 чел-час/т|4,5 т/га|6000 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Злата, Агата,Рима }|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Точный|85%|4 чел-час/т|6,5 т/га|4920 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Рима, Радмира}|ГОСТ Р52325-2005|N|150|Винцит Форте|1,25 л/т |Линтур ВДГ |150 г/га|Импакт,  КС |0,5 кг/га|Вантекс, МКС |0,06 л/га|Перфект КЭ |0,4 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Точный|85%|4 чел-час/т|6,5 т/га|4920 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Рима, Радмира}|ГОСТ Р52325-2005|P|120|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Альто Супер, КЭ |0,5 л/га|Данадим, КЭ |1 л/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Точный|85%|4 чел-час/т|6,5 т/га|4920 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Рима, Радмира}|ГОСТ Р52325-2005|K|120|Перфект |4 л/т|Агроксон |0,5 л/га|Импакт Супер, КС |0,75 кг/га|Данадим Эксклюзив, КЭ |0,3 л/га||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Точный|85%|4 чел-час/т|6,5 т/га|4920 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Рима, Радмира}|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровая пшеница|Точный|85%|4 чел-час/т|6,5 т/га|4920 руб/т|зерно|Хлебопекарная промышленность; кондитерская промышленность; фуражные цели|полова, солома, отруби|корм|ГОСТ 9353-90|24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%|700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Рима, Радмира}|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Экстенсивный|30%|9 чел-час/т|2,1 т/га|5710 руб/т|зерно|корм|полова, солома, отруби|корм|ГОСТ 25344-82 ||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3, 1.4, 1.5, 2.1, 2.2,2.3,2.4}|{зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Владимир,Московский 86}|ГОСТ Р52325-2005|||||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Нормальный|50%|7 чел-час/т|3,2 т/га|6880 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, корм|полова, солома, отруби|корм|ГОСТ 25344-82 ||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3. 1.4, 1.5, 2.1, 2.2}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Московский 86, Яромир,Нур}|ГОСТ Р52325-2005|N|90|Винцит Форте |1,5 л/т|Линтур ВДГ|180 г/га|Альто Супер|0,5 л/га|Данадим Пауэр КЭ, |1,0 л/га|||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Нормальный|50%|7 чел-час/т|3,2 т/га|6880 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, корм|полова, солома, отруби|корм|ГОСТ 25344-82 ||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3. 1.4, 1.5, 2.1, 2.2}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Московский 86, Яромир,Нур}|ГОСТ Р52325-2005|P|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Нормальный|50%|7 чел-час/т|3,2 т/га|6880 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, корм|полова, солома, отруби|корм|ГОСТ 25344-82 ||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3. 1.4, 1.5, 2.1, 2.2}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Московский 86, Яромир,Нур}|ГОСТ Р52325-2005|K|60|||||||||||||
